description,latitude,longitude,altitude
"Lone Grove, Oklahoma",34.180972,-97.253313,295.0
"Lone Wolf, Oklahoma",34.990427,-99.245602,477.0
"Long, Oklahoma",35.497823,-94.538858,266.0
"Longdale, Oklahoma",36.133794,-98.551179,506.0
"Longtown, Oklahoma",35.242373,-95.518593,188.0
"Lookeba, Oklahoma",35.363005,-98.364095,413.0
"Lost City, Oklahoma",36.000647,-95.122306,251.0
"Lotsee, Oklahoma",36.133432,-96.209085,232.0
"Loveland, Oklahoma",34.304985,-98.771271,328.0
"Lovell, Oklahoma",36.056034,-97.636473,312.0
"Lowrey, Oklahoma",36.099952,-94.930908,345.0
"Loyal, Oklahoma",35.972771,-98.118154,343.0
"Lucien, Oklahoma",36.274764,-97.455029,341.0
"Luther, Oklahoma",35.668218,-97.190547,280.0
"Lyons Switch, Oklahoma",35.788983,-94.685329,384.0
"Macomb, Oklahoma",35.147902,-97.00865,302.0
"Madill, Oklahoma",34.08708,-96.774665,247.0
"Mallard Bay, Oklahoma",35.862248,-95.263845,176.0
"Manchester, Oklahoma",36.994494,-98.0351,393.0
"Mangum, Oklahoma",34.878559,-99.503906,491.0
"Manitou, Oklahoma",34.507244,-98.981011,381.0
"Mannford, Oklahoma",36.132862,-96.330428,224.0
"Mannsville, Oklahoma",34.183123,-96.888853,244.0
"Maramec, Oklahoma",36.24189,-96.680512,293.0
"Marble City, Oklahoma",35.583882,-94.817396,230.0
"Marietta, Oklahoma",35.848331,-94.653261,353.0
"Marietta, Oklahoma",33.936172,-97.124716,258.0
"Marland, Oklahoma",36.560995,-97.152772,313.0
"Marlow, Oklahoma",34.631114,-97.956659,394.0
"Marshall, Oklahoma",36.149683,-97.623244,320.0
"Martha, Oklahoma",34.725983,-99.386657,431.0
"Maud, Oklahoma",35.133451,-96.777971,298.0
"May, Oklahoma",36.616708,-99.748636,624.0
"Maysville, Oklahoma",34.864713,-97.373593,300.0
"Mazie, Oklahoma",36.142561,-95.330214,191.0
"McAlester, Oklahoma",34.926128,-95.773619,224.0
